-1.025328526874218	0.5126642634371091-5.571663480596844*I	0.5126642634371091+5.571663480596844*I
-2.2493399462979733	1.1246699731489864-6.0593955401653306*I	1.1246699731489864+6.0593955401653306*I
-3.078997648789153	1.5394988243945762-6.534406111060911*I	1.5394988243945762+6.534406111060911*I
-3.698775055750631	1.8493875278753156-6.965318563050961*I	1.8493875278753156+6.965318563050961*I
-4.194387401151056	2.097193700575528-7.356377567788898*I	2.097193700575528+7.356377567788898*I
-4.608617787676885	2.3043088938384426-7.7147787893109525*I	2.3043088938384426+7.7147787893109525*I
-4.965415851149989	2.482707925574994-8.046519491751615*I	2.482707925574994+8.046519491751615*I
-5.279459763097025	2.6397298815485124-8.356204174700798*I	2.6397298815485124+8.356204174700798*I
-5.560383410440539	2.7801917052202674-8.647351680523931*I	2.7801917052202674+8.647351680523931*I
-5.814851563838028	2.907425781919012-8.922686480657164*I	2.907425781919012+8.922686480657164*I
-6.0476696840175705	3.023834842008784-9.184353985006542*I	3.023834842008784+9.184353985006542*I
-6.262419767305543	3.131209883652771-9.434072256443011*I	3.131209883652771+9.434072256443011*I
-6.461845595220483	3.23092279761024-9.673238670287876*I	3.23092279761024+9.673238670287876*I
-6.648097156282349	3.3240485781411744-9.903005781892372*I	3.3240485781411744+9.903005781892372*I
-6.822891807289148	3.411445903644574-10.124336165587023*I	3.411445903644574+10.124336165587023*I
-6.9876240590933705	3.4938120295466844-10.338042730295488*I	3.4938120295466844+10.338042730295488*I
-7.143442484644199	3.571721242322099-10.544818849332188*I	3.571721242322099+10.544818849332188*I
-7.291304915538502	3.6456524577692506-10.74526122818102*I	3.6456524577692506+10.74526122818102*I
-7.432018903615806	3.7160094518079028-10.939887510288989*I	3.7160094518079028+10.939887510288989*I
-7.56627193952941	3.7831359697647047-11.129150010843114*I	3.7831359697647047+11.129150010843114*I
-7.694654398135404	3.847327199067702-11.313446559885794*I	3.847327199067702+11.313446559885794*I
-7.81767722092594	3.9088386104629698-11.4931291582379*I	3.9088386104629698+11.4931291582379*I
-7.9357857250695565	3.9678928625347782-11.668510957801342*I	3.9678928625347782+11.668510957801342*I
-8.049370517888738	4.024685258944368-11.839871943311955*I	4.024685258944368+11.839871943311955*I
-8.158776218133436	4.079388109066717-12.007463596996029*I	4.079388109066717+12.007463596996029*I
-8.26430849443037	4.132154247215185-12.171512758692002*I	4.132154247215185+12.171512758692002*I
-8.366239797589115	4.183119898794558-12.332224843733847*I	4.183119898794558+12.332224843733847*I
